condition,category,normalized_marker_mean,normalized_marker_min,normalized_marker_max
control,anglocentric_formulas,0.0,0.0,0.0
control,argument_development,0.0,0.0,0.0
control,hedging_epistemic,0.0,0.0,0.0
control,intensification_assertiveness,0.0,0.0,0.0
control,logical_structuring,0.010624,0.009901,0.011905
early,anglocentric_formulas,0.0,0.0,0.0
early,argument_development,0.0,0.0,0.0
early,hedging_epistemic,0.0,0.0,0.0
early,intensification_assertiveness,0.0,0.0,0.0
early,logical_structuring,0.00353,0.0,0.01087
late,anglocentric_formulas,0.0,0.0,0.0
late,argument_development,0.0,0.0,0.0
late,hedging_epistemic,0.0,0.0,0.0
late,intensification_assertiveness,0.0,0.0,0.0
late,logical_structuring,0.003493,0.0,0.010753
mid,anglocentric_formulas,0.0,0.0,0.0
mid,argument_development,0.0,0.0,0.0
mid,hedging_epistemic,0.0,0.0,0.0
mid,intensification_assertiveness,0.0,0.0,0.0
mid,logical_structuring,0.003446,0.0,0.01087
