condition,category,normalized_marker_mean,normalized_marker_min,normalized_marker_max
control,anglocentric_formulas,0.001485,0.0,0.018692
control,argument_development,0.000213,0.0,0.01
control,hedging_epistemic,0.000375,0.0,0.019608
control,intensification_assertiveness,0.000374,0.0,0.01087
control,logical_structuring,0.011707,0.0,0.041667
early,anglocentric_formulas,0.001126,0.0,0.021053
early,argument_development,0.000257,0.0,0.011236
early,hedging_epistemic,0.000297,0.0,0.028302
early,intensification_assertiveness,0.000188,0.0,0.011364
early,logical_structuring,0.009845,0.0,0.031915
late,anglocentric_formulas,0.001757,0.0,0.019802
late,argument_development,0.000297,0.0,0.009901
late,hedging_epistemic,0.000126,0.0,0.02
late,intensification_assertiveness,6.4e-05,0.0,0.009804
late,logical_structuring,0.008731,0.0,0.037383
mid,anglocentric_formulas,0.001042,0.0,0.017241
mid,argument_development,0.000361,0.0,0.010638
mid,hedging_epistemic,0.000154,0.0,0.02
mid,intensification_assertiveness,0.000369,0.0,0.010526
mid,logical_structuring,0.008869,0.0,0.038462
