profile,condition,run_count,error_count,token_count_mean,token_count_min,token_count_max,total_marker_score_mean,total_marker_score_min,total_marker_score_max,delta_p0_mean,delta_p0_min,delta_p0_max,cosine_similarity_mean,cosine_similarity_min,cosine_similarity_max,perplexity_mean,perplexity_min,perplexity_max
outputs_vkr_fast,control,6,0,94.666667,84,101,0.010624,0.009901,0.011905,0.0,-0.000155,0.000155,1.0,1.0,1.0,137.95595,134.994925,141.796427
outputs_vkr_fast,early,6,0,93.166667,83,100,0.00353,0.0,0.01087,-0.007094,-0.011766,0.000919,0.665317,0.54004,0.755589,221.653643,200.637571,243.615771
outputs_vkr_fast,late,6,0,94.5,91,100,0.003493,0.0,0.010753,-0.007131,-0.011766,0.000802,0.676243,0.496856,0.760559,214.776153,192.291849,260.557277
outputs_vkr_fast,mid,6,0,94.5,88,102,0.003446,0.0,0.01087,-0.007178,-0.011766,0.000919,0.709337,0.624736,0.756644,203.860042,190.24936,227.097085
outputs_vkr_plus,control,24,0,90.75,80,101,0.020785,0.0,0.033708,-0.0,-0.011199,0.011528,1.0,1.0,1.0,319.799509,277.776265,373.287658
outputs_vkr_plus,early,24,0,90.208333,78,102,0.019595,0.0,0.038462,-0.001189,-0.022583,0.011786,0.683309,0.549864,0.853128,470.491025,341.07463,599.190379
outputs_vkr_plus,late,24,0,89.791667,80,97,0.020125,0.0,0.034884,-0.00066,-0.011075,0.011528,0.710802,0.471995,0.896504,444.316563,325.04422,654.793837
outputs_vkr_plus,mid,24,0,89.958333,82,99,0.018226,0.0,0.035714,-0.002559,-0.014189,0.00942,0.70045,0.515207,0.809369,467.282575,383.028161,582.771237
outputs_vkr_max_mini,control,48,0,94.020833,81,106,0.022198,0.009434,0.040816,0.0,-0.008234,0.009278,1.0,1.0,1.0,430.657701,338.73607,540.34155
outputs_vkr_max_mini,early,48,0,95.395833,83,106,0.018377,0.0,0.034483,-0.003821,-0.031739,0.018118,0.635795,0.469867,0.817435,708.251565,474.757402,932.511172
outputs_vkr_max_mini,late,48,0,97.020833,86,106,0.020458,0.0,0.041667,-0.001741,-0.015472,0.013654,0.707965,0.495432,0.880223,615.383812,462.058445,877.284743
outputs_vkr_max_mini,mid,48,0,94.729167,83,106,0.018029,0.0,0.037736,-0.00417,-0.0211,0.010783,0.683362,0.487609,0.854152,642.660427,496.784523,848.446843
outputs_vkr_max_nano,control,48,0,96.854167,85,108,0.017196,0.0,0.035294,0.0,-0.016856,0.011367,1.0,1.0,1.0,427.378569,323.392396,523.800819
outputs_vkr_max_nano,early,48,0,96.520833,76,110,0.016681,0.0,0.032258,-0.000515,-0.028691,0.020165,0.614393,0.455278,0.755049,705.416285,519.611778,890.844297
outputs_vkr_max_nano,late,48,0,98.729167,87,113,0.016551,0.0,0.032609,-0.000645,-0.027273,0.02079,0.701033,0.484183,0.895107,608.995428,442.326224,970.93307
outputs_vkr_max_nano,mid,48,0,97.916667,87,111,0.0155,0.0,0.040816,-0.001696,-0.021583,0.021944,0.674498,0.472134,0.836315,639.396919,485.699388,966.88017
